DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,LOCATION,LAT,LON,Premis Desc
01/22/2025 12:00:00 AM,1517,Newton,INDECENT EXPOSURE,13,F,48TH                         ST,34.0002,-118.25,JUNIOR HIGH SCHOOL
02/21/2025 12:00:00 AM,1530,Foothill,BATTERY - SIMPLE ASSAULT,13,M,10900    MT GLEASON                   AV,34.2669,-118.3027,HIGH SCHOOL
02/06/2025 12:00:00 AM,30,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,,2000    JOHN S GIBSON                BL,33.7566,-118.2896,STREET
02/15/2025 12:00:00 AM,1700,Harbor,VEHICLE - STOLEN,0,,2200    MINER                        ST,33.7293,-118.2797,OTHER PREMISE
03/08/2025 12:00:00 AM,1250,Devonshire,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,X,9300    PASO ROBLES                  AV,34.2394,-118.5044,JUNIOR HIGH SCHOOL
02/21/2025 12:00:00 AM,1600,Southwest,VEHICLE - STOLEN,0,,1100 W  JEFFERSON                    BL,34.0255,-118.289,STREET
02/07/2025 12:00:00 AM,1200,Harbor,"RAPE, FORCIBLE",13,F,GAFFEY,33.7477,-118.2929,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
02/04/2025 12:00:00 AM,2000,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,,1000    DOWNEY                       WY,34.0212,-118.2895,STREET
01/21/2025 12:00:00 AM,1200,Harbor,VEHICLE - STOLEN,0,,PACIFIC                      AV,33.7442,-118.2879,STREET
02/15/2025 12:00:00 AM,1700,Harbor,BURGLARY,51,M,2200    MINER                        ST,33.7293,-118.2797,STORAGE SHED
01/29/2025 12:00:00 AM,900,Mission,ROBBERY,16,F,11400    LAUREL CANYON                BL,34.277,-118.4515,BUS STOP
01/21/2025 12:00:00 AM,1900,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,,1000    DOWNEY                       WY,34.0212,-118.2895,STREET
01/30/2025 12:00:00 AM,1100,Northeast,BURGLARY FROM VEHICLE,30,F,2800 E  OBSERVATORY                  RD,34.1192,-118.3004,PARKING LOT
03/12/2025 12:00:00 AM,800,Southwest,VEHICLE - STOLEN,0,,3100    MCCLINTOCK                   AV,34.0274,-118.285,STREET
